word,part_of_speech,definition,length
quagmire,noun,"A swampy, soggy area of ground.",8
quagmire,verb,"To embroil (a person, etc.) in complexity or difficulty.",8
querulous,adjective,"Often complaining; suggesting a complaint in expression; fretful, whining.",9
recapitulate,verb,To summarize or repeat in concise form.,12
recalcitrant,noun,A person who is recalcitrant.,12
recalcitrant,adjective,Marked by a stubborn unwillingness to obey authority.,12
repudiate,verb,To reject the truth or validity of; to deny.,9
salient,noun,"An outwardly projecting part of a fortification, trench system, or line of defense.",7
salient,adjective,Worthy of note; pertinent or relevant.,7
sardonic,adjective,Scornfully mocking or cynical.,8
serendipity,noun,A combination of events which have come together by chance to make a surprisingly good or wonderful outcome.,11
soporific,noun,"Something inducing sleep, especially a drug.",9
soporific,adjective,(pharmaceutical effect) Tending to induce sleep.,9
stalwart,noun,One who has a strong build.,8
stalwart,adjective,Firmly or solidly built.,8
surreptitious,adjective,"Stealthy, furtive, well hidden, covert (especially movements).",13
taciturn,adjective,Silent; temperamentally untalkative; disinclined to speak.,8
trepidation,noun,A fearful state; a state of concern or hesitation.,11
unctuous,adjective,(of a liquid or substance) Oily or greasy.,8
verbose,adjective,"Abounding in words, containing more words than necessary; long-winded.",7
visceral,adjective,Of or relating to the viscera—internal organs of the body.,8
whimsical,adjective,Given to whimsy.,9
wistful,adjective,Full of longing or yearning.,7
aberration,noun,"The act of wandering; deviation from truth, moral rectitude; abnormal; divergence from the straight, correct, proper, normal, or from the natural state.",10
absolution,noun,An absolving of sins from ecclesiastical penalties by an authority.,10
amalgamation,noun,"The process of amalgamating; a mixture, merger or consolidation.",12
anomaly,noun,A deviation from a rule or from what is regarded as normal; an outlier.,7
antipathy,noun,"A feeling of dislike (normally towards someone, less often towards something); repugnance or distaste.",9
arcane,adjective,Understood by only a few.,6
avant-garde,noun,The vanguard of an army or other force.,11
avant-garde,adjective,"Innovative, pioneering, especially when extremely or obviously so.",11
banal,adjective,"Common in a boring way, to the point of being predictable; containing nothing new or fresh.",5
behemoth,noun,A great and mighty beast God shows Job in Job 40:15–24.,8
bellicose,adjective,Warlike in nature; aggressive; hostile.,9
bombastic,adjective,"(of a person, their language or writing) showy in speech and given to using flowery or elaborate terms; grandiloquent; pompous",9
capitulate,verb,"To surrender; to end all resistance, to give up; to go along with or comply.",10
chicanery,noun,"Deception by use of trickery, quibbling, or subterfuge.",9
churlish,adjective,"Of or pertaining to a serf, peasant, or rustic.",8
circumspect,adjective,Carefully aware of all circumstances; considerate of all that is pertinent.,11
colloquial,noun,"A colloquial word or phrase, colloquialism",10
colloquial,adjective,"Denoting a manner of speaking or writing that is characteristic of familiar conversation, of common parlance; informal.",10
deleterious,adjective,Harmful often in a subtle or unexpected way.,11
denigrate,verb,"To criticise so as to besmirch; traduce, disparage or defame.",9
diatribe,noun,"An abusive, bitter, attack or criticism: denunciation.",8
dichotomy,noun,A separation or division into two; a distinction that results in such a division.,9
disparate,noun,(chiefly in the plural) Any of a group of unequal or dissimilar things.,9
disparate,adjective,Composed of inherently different or distinct elements; incongruous.,9
dissonance,noun,"A harsh, discordant combination of sounds.",10
ephemeral,noun,Something which lasts for a short period of time.,9
ephemeral,adjective,Lasting for a short period of time.,9
epiphany,noun,The appearance of Jesus Christ to the Magi on the twelfth day after Christmas.,8
epiphany,noun,"An illuminating realization or discovery, often resulting in a personal feeling of elation, awe, or wonder.",8
epitome,noun,The embodiment or encapsulation of a class of items.,7
ethereal,adjective,"Pertaining to the hypothetical upper, purer air, or to the higher regions beyond the earth or beyond the atmosphere; celestial; otherworldly.",8
exacerbate,verb,"To make worse (a problem, bad situation, negative feeling, etc.); aggravate; exasperate.",10
exonerate,verb,To relieve (someone or something) of a load; to unburden (a load).,9
exonerate,adjective,"Freed from an obligation; freed from accusation or blame; acquitted, exonerated.",9
extol,verb,To praise; to make high.,5
facetious,adjective,Treating serious issues with (often deliberately) inappropriate humour; flippant.,9
fastidious,adjective,"Excessively particular, demanding, or fussy about details, especially about tidiness and cleanliness.",10
flummox,verb,To confuse; to fluster; to flabbergast.,7
glib,verb,To make glib.,4
glib,adjective,Having a ready flow of words but lacking thought or understanding; superficial; shallow.,4
hegemony,noun,"Domination, influence, or authority over another, especially by one political group over a society or by one nation over others.",8
heretic,noun,Someone who believes contrary to the fundamental tenets of a religion they claim to belong to.,7
heretic,adjective,Heretical; of or pertaining to heresy or heretics.,7
impervious,adjective,Unaffected or unable to be affected by something.,10
impetuous,adjective,"Making arbitrary decisions, especially in an impulsive and forceful manner.",9
incongruous,adjective,Not similar or congruent; not matching or fitting in.,11
innuendo,noun,"A derogatory hint or reference to a person or thing. An implication, intimation or insinuation.",8
innuendo,verb,To interpret (something libellous or slanderous) in terms of what was implied.,8
insidious,adjective,"Producing harm in a stealthy, often gradual, manner.",9
insolent,noun,A person who is insolent.,8
insolent,adjective,Insulting in manner or words.,8
juxtapose,verb,"To place side by side, especially for contrast or comparison.",9
languish,verb,To lose strength and become weak; to be in a state of weakness or sickness.,8
lugubrious,adjective,"Gloomy, mournful or dismal, especially to an exaggerated degree.",10
malinger,verb,"To feign illness, injury, or incapacitation in order to avoid work, obligation, or perilous risk.",8
maudlin,noun,The Magdalene; Mary Magdalene.,7
maudlin,adjective,"Affectionate or sentimental in an effusive, tearful, or foolish manner, especially because of drunkenness.",7
melancholy,noun,"Black bile, formerly thought to be one of the four ""cardinal humours"" of animal bodies.",10
melancholy,adjective,Affected with great sadness or depression.,10
mollify,verb,"To ease a burden, particularly worry; make less painful; to comfort.",7
myopic,noun,A short-sighted individual.,6
myopic,adjective,Near-sighted; unable to see distant objects unaided,6
nebulous,adjective,In the form of a cloud or haze; hazy.,8
neophyte,noun,"A beginner; a person who is new to a subject, skill, or belief.",8
nostalgia,noun,A longing for home or familiar surroundings; homesickness.,9
ominous,adjective,Of or pertaining to an omen or to omens; being or exhibiting an omen; significant.,7
palatial,adjective,Of or relating to a palace.,8
panacea,noun,A remedy believed to cure all disease and prolong life that was originally sought by alchemists; a cure-all.,7
pariah,noun,A person who is rejected from society or home; an outcast.,6
patronize,verb,"To act as a patron of; to defend, protect, or support.",9
pedantic,adjective,"Like a pedant, overly concerned with formal rules and trivial points of learning.",8
penchant,noun,"Taste, liking, or inclination (for).",8
perfidious,adjective,"Of, pertaining to, or representing perfidy; disloyal to what should command one's fidelity or allegiance.",10
petulant,adjective,Childishly irritable,8
plausible,adjective,"Seemingly or apparently valid, likely, or acceptable; conceivably true or likely",9
precocious,adjective,Characterized by exceptionally early development or maturity.,10
predilection,noun,Condition of favoring or liking; tendency towards; proclivity; predisposition.,12
proclivity,noun,"A predisposition or natural inclination, propensity, or a predilection; especially, a strong disposition or bent.",10
profound,noun,The deep; the sea; the ocean.,8
profound,verb,To cause to sink deeply; to cause to dive or penetrate far down.,8
profound,adjective,Descending far below the surface; opening or reaching to great depth; deep.,8
prolific,adjective,"Fertile; producing offspring or fruit in abundance — applied to plants producing fruit, animals producing young, etc.",8
prudent,adjective,"Sagacious in adapting means to ends; circumspect in action, or in determining any line of conduct; careful, discreet, sensible; — opposed to rash; directed by prudence or wise forethought; evincing prudence",7
pugilist,noun,One who fights with his fists; especially a professional prize fighter; a boxer.,8
rancor,noun,The deepest malignity or spite; deep-seated enmity or malice; inveterate hatred.,6
rhetoric,noun,"The art of using language, especially public speaking, as a means to persuade.",8
rhetoric,adjective,"Part of or similar to rhetoric, the use of language as a means to persuade.",8
spurious,adjective,"False, not authentic, not genuine.",8
sublime,verb,To sublimate.,7
sycophant,noun,One who uses obsequious compliments to gain self-serving favor or advantage from another; a servile flatterer.,9
sycophant,verb,"To inform against; hence, to calumniate.",9
tenuous,adjective,Thin in substance or consistency.,7
umbrage,noun,A feeling of anger or annoyance caused by something offensive.,7
umbrage,verb,To displease or cause offense.,7
veracity,noun,(of a person) The quality of speaking or stating the truth; truthfulness.,8
vilify,verb,To say defamatory things about someone or something; to speak ill of.,6
vitriolic,adjective,Of or pertaining to vitriol; derived from or resembling vitriol.,9
vociferous,adjective,Making or characterized by a noisy outcry; clamorous.,10
xenophobic,noun,A xenophobe.,10
xenophobic,adjective,"Exhibiting or characterised by xenophobia, a fear or hatred of strangers or foreigners",10
zealotry,noun,Something characteristic of a zealot; excessive zeal; fanaticism.,8
